,flag
208 號,m
 3 月 11 日至 17 日到過泰國。,nz
肌肉痛症狀。,nz
如心,v
南灣海景酒店,LOC
 3 月 2 日至 15 日到過英國。,nz
26 歲,m
蘭桂坊。,nz
為凱莉山學校教職員。患者為凱莉山學校教職員。,nt
愉景灣婚宴,nz
賓客。,nz
。 3 月 14 日起出現咳嗽及流鼻水症狀。,nz
為英國留學生。,nr
原本,d
居家,vn
 3 月 20 日,nz
學生,n
 3 月 19 日出現發燒、喉嚨痛,nz
外遊紀錄。 3 月 18 日,nz
頭痛症狀。,nz
為英國,nr
學生，,nr
過荷蘭。 3 月 19 日出現發燒、咳嗽,nz
腹瀉症狀。,nz
過英國。 3 月 19 日,nz
頭痛症狀，,nz
過卡塔爾多哈、丹麥,ns
泰國，為第 165 宗個案,nz
呼吸急促症狀，,nz
愉景灣婚禮,nz
新郎,n
過馬來西,nr
亞渡,v
蜜月,n
 3 月 17 日出現發燒症狀。,nz
 3 月 20 日返港，,nz
咳嗽症狀。,nz
 3 月 20 日返港。3 月 12 日,nz
為 22 個月大嬰兒，,nr
嶺華明邨,nr
禮明樓,v
第 143 宗,nz
　,v
 3 月 20 日開始發燒，由檢疫中心,nt
土耳其,LOC
國，,v
 3 月 14 日起,nz
過英國。,nr
 3 月 20 日出現咳嗽症狀，,nz
遂,d
自行,d
電衞,n
生署,v
求助,v
有長期病患，曾參與過加拿大黃刀鎮旅行團，與,nz
幾名,m
第 238 、 242 、 261 、 268 及 306 宗個案,nz
）並,nr
認識,v
曾隨,PER
秘魯,nr
地，,nz
道運動員周家謙，與,nz
兩名運動員,nz
曾綺婷,PER
奧地利集,nr
訓。,v
 3 月 20 日起,nz
現於,v
威爾斯醫院留醫，屬香港體育學院群組 ,nt
(,w
 第 172 及 254 宗個案 ,nz
),w
為 20 個月大女嬰，,nr
曾參與愉景灣婚禮確診賓客,nr
第 237 宗,nz
 3 月 20 日出現發燒症狀，,nz
第 237 宗個案,nz
，從亞博,nr
檢測中心,ORG
出,v
後轉介。,nr
 3 月 15 日出現咳嗽症狀，,nz
第 238、242、261 及 268 宗個案,nz
，並參與黃刀鎮,nr
訪秘魯,nr
過荷蘭、德國、法國、盧森堡,nz
。3 月 17 日出現咳嗽症狀，從亞博,nz
後轉介，,nr
過英國。 3 月 19 日起,nt
， 3 月 15 日起,nz
過荷蘭、奧地利,nr
蘇黎世。 3 月 ,nr
瑪麗醫院留醫。與第 410 宗個案,nt
流行病學關聯。,nz
，無外遊記錄，,nz
鶴齡街 8 號。,ns
 3 月 19 日出現喉嚨痛,nz
屬,v
家庭群,n
組個案,n
第 154 宗個案,nz
，父親為,v
第 228 宗個案,nz
瑪嘉烈醫院留醫。與第 291、 372 及 391 宗個案,nz
、英國,v
。 3 月 18 日,nz
呼吸急促,a
第 221 宗個案,nz
兒子，無外遊紀錄。,nr
威勝大廈。他與第 169 及 208 宗個案,nz
赴,v
工業,n
大廈 9 樓,nr
 2 月 27 日至 3 月 2 日到泰國。 3 月 20 日出現發燒症狀，,nz
仁濟醫院,ORG
過美國。 3 月 ,nr
西貢洭湖,ns
居，,v
 3 月 6 日至 18 日到過美國,nz
 3 月 16 日出現流鼻水症狀，,nz
大口,n
金粟街,LOC
 33 號 AQU,nr
A ,v
33 第四座,m
 3 月 9  至 11 日,nz
 3 月 16 日出現喉嚨痛、肚瀉,nz
4 歲,m
堅尼地城羲皇臺 8 座，與第 266 ,nt
 342 宗個案,nz
蒙特勒留學，,nz
，與第 198 宗個案有關連。 3 月 19 日出現咳嗽症狀，,nz
，與第 241 宗個案有關連。 3 月 20 日出現發燒症狀，,nz
與第 195 宗個案,nr
關連。 3 月 21 日,nz
英國留學生， 3 月 17 日返港， 3 月 20 日出現發燒症狀，,nz
，與第 300 宗個案,nz
觸，返港後,nr
。 3 月 ,nr
法,n
國、,v
英國。3 月 20 日,nz
過法國，,nr
。 3 月 21 日發燒，,nz
第 207 宗個案,nz
過馬尼拉。 3 月 ,nr
20 日,m
空中,s
員，,nr
過英國。 3 月 16 日出現喉嚨乾症狀。,nt
21 歲,m
英國列斯,PER
學，,v
過英國倫敦,ns
。 3 月 17 日,nz
冰島。 3 月 ,nr
為英國留學生。 3 月 17 日,nz
過英國，並無病徵。與第 191、217 及 250 宗個案,nz
接觸。,nz
過德國。 3 月 22 日出現發燒症狀。,nz
多哈，並無病徵。,nz
為英國留學生，返港後,nr
。 3 月 15 日出現咳嗽症狀，,nz
。 3 月 18 日出現發燒、咳嗽、發冷及頭痛症狀，,nz
 11 時,nz
與第 229 ,nr
 338 宗個案,nz
接觸。 3 月 13 日,nz
、發燒、發冷,nr
 uber 入院，,nt
，與第 229 及 337 宗個案,nz
葵德工業中心,ORG
呼吸困難症狀。,nz
過 PURE Fitness 健身室。3 月 20 日,nt
柴灣小西灣邨瑞發,nr
 3 月 6 至 14 日到過英國倫敦。 3 月 19 日出現發燒症狀，,nz
過泰國,nr
不丹。 3 月 19 日,nz
發冷、,nz
與第 266 及 319 宗個案,nz
荷李活道 66 號工作，並沒有病徵。衞生署,nt
一處,m
尚有,v
 16 名員工，當,nz
部份,n
部,n
份,q
等待,v
報告。,nz
與 3 月 22 日確診,nr
樂手同樣,v
擔任,v
表演,vn
，負責主唱。 3 月 21 日,nz
喉嚨不適症狀。,nz
英國伯明翰,LOC
學生，並,nr
為女外傭，,nr
管理,v
為衞,nr
醫生，3 月 ,nr
調,v
喉嚨痛症狀。 3 月 23 日檢測呈陽性反應，,nz
小西灣富景花園 3 座。 1 月至 3 月 14 日,nz
。 3 月 20 日,nz
第 #243 宗個案,nz
，屬,nr
有長期病患，與第 #351 宗個案,nz
關連，,nz
大埔江庫雅苑,LOC
 2 月 6 日至 3 月 20 日,nz
台灣，,nz
治療。 （衛生防護中心於 3 月 23 日公佈,nt
為 3 月 18 日，3 月 30 日,nz
更改,v
為 3 月 ,nr
 4 月 6 日將,nr
改,v
 3 月 18 日。）,nz
，與第 #350 宗個案,nz
 4 月 10 日出院,nt
， 其後,v
 4 月 20 日,nz
。（衛生防護中心於 3 月 23 日公佈,nt
為 3 月 14 日，3 月 30 日,nz
 3 月 14 日。）,nz
西貢,nr
西沙路西徑村,LOC
 3 月 4 至 20 日,nz
 3 月 20 日出現發燒、,nz
頭重症狀，,nr
觀塘帝盛酒店,ORG
 3 月 20 至 21 日到過英國。,nz
 3 月 21 日出現發燒、喉嚨痛,nz
李活道 53 號,nr
 3 月 3 至 18 日到過英國。,nz
 3 月 18 日出現咳嗽、疲勞,nz
腹瀉症狀， 3 月 22 日返港，,nz
亞洲博覽館送院,ORG
，留學英國，於 3 月 21 日出現發燒、咳嗽,nz
喉嚨痛症狀，3 月 22 日返港，,nz
，留學英國，於 3 月 21 日出現喉嚨痛、,nz
發燒症狀， 3 月 22 日返港，經衛生署轉介,nt
 2 月 3 日至 3 月 19 日,nz
英國倫敦，返港,ns
 3 月 22 日出現發燒症狀。,nz
第 195 及 322 宗個案,nz
第 195 宗,m
過蘭桂坊 Pure Fitness ,nr
 3 月 21 日,nz
為蘭桂坊,nr
酒吧,n
員，屬「,nz
樂隊」群組，無,nz
 3 月 22 日出現頭痛症狀。,nz
 1 月 31 日至 3 月 13 日到英國。 3 月 16 日,nt
「酒廊樂團」,nz
成員,v
，與第 367 宗,nz
堅道，無外遊紀錄，並,nr
 3 月 9 日至 17 日,nz
、芬蘭,nr
卡塔爾多哈，,nr
第 773 宗個案,nz
英國留學生， 3 月 22 日返港。 3 月 14 日,nz
 12 月至 3 月 22 日都在英國，從亞博館檢測後送院。 3 月 11 日出現發燒、,nt
發冷症狀。,nz
東瀛遊導遊，3 月 7 日至 21 日帶 20 人,nz
，3 月 23 日發燒。,nr
港後派樽,nt
口水,n
驗，,nr
第 #362 宗,m
堅道，,nr
外遊紀錄，屬「,nz
樂隊」群組。 3 月 22 日出現發燒症狀。,nz
英國倫敦。 3 月 17 日出現發燒、咳嗽,nz
 1 月中至 3 月 16 日,nz
英國倫敦,ns
。3 月 ,nr
 2 月 25 日至 3 月 19 日,nz
英國蘇格蘭,nz
法國，返港後,nz
家居檢疫。 3 月 19 日喉,nt
 3 月 8 至 11 日,nz
遊玩,v
賭場,v
衞生署,nt
大,a
喉嚨痕癢症狀。,nz
外遊紀錄，屬昌隆工業大廈感染群組，與第 291、312 宗個案,nz
 3 月 20 日出現發燒症狀。,nz
愉景灣婚禮群組，無外遊紀錄。,nz
喉嚨痕癢。與第 191 、 233 、 237 、253 、 258 、 259 、 287 、 295 及 332 宗個案,nz
 2 月 27 日至 3 月 12 日,nz
英國。 3 月 19 日出現發燒症狀。,nz
外遊紀錄，曾參與黃竹坑派對，與第 169 、 208 、 277 及 315 宗個案,nz
職國泰,v
過數日。與,nr
國泰空姐（第 161 宗個案,nt
315,m
320 兩個,m
執勤,v
檢疫。 3 月 20 日出現鼻塞症狀。,nz
外遊紀錄，為 NOW 新聞台剪片師,nt
 3 月 19 日出現發燒、呼吸困難、,nz
第 217 宗個案,nz
3 月 6 日至 15 日,nz
。 3 月 21 日出現發燒症狀。,nz
 1 月 27 日至 3 月 18 日到英國。 3 月 20 日開始發燒。,nz
 2 月 10 日至 3 月 18 日到台灣、美國,nz
德國。 3 月 18 日出現咳嗽、呼吸困難症狀。,nz
英國留學生，3 月 18 日返港，,nz
 2 月 12 日至 3 月 22 日到法國，,nz
 3 月 2 日出現咳嗽、喉嚨痛症狀，返港後從亞博館檢測後送院,nt
新來港,LOC
傭，僱,nr
主居,v
 3 月 20 日抵港後,nz
強制檢疫。 3 月 22 日,nz
與第 276 、 387 宗個案,nz
灣仔，屬「,nz
樂隊」群組。 3 月 23 日出現喉嚨痕癢症狀。,nz
 2 月 1 日至 3 月 1 日,nz
 3 月 6 日至 17 日到泰國。 3 月 17 日,nz
樂隊」群組。3 月 21 日起出現咳嗽症狀。,nz
與第 276 、 384 宗個案,nz
樂隊」群組。  3 月 22 日出現疲倦症狀。,nz
外遊紀錄， 3 月 22 日,nz
徵狀，衞生署衞生防護中心,nt
感染源,n
頭緒。,nr
樂團,v
， 3 月 21 日,nz
頭痛徵狀。,nr
 3 月 13 至 20 日,nz
家居強制檢疫。 3 月 22 日出現發燒、咳嗽、喉,nt
腹瀉徵狀。,nz
徵狀，屬長沙灣昌隆工業大廈群組，與,nt
第 291、312 及 372 宗個案,nz
同一,a
 3 月 13 至 18 日,nz
峇,n
空中服務員。 3 月 20 日開始發燒。,nz
美國， 3 月 18 日返港。 3 月 12 日出現咳嗽徵狀。患者為蘭桂坊酒吧 Insomnia 服務員， 3 月 10 日,nt
喉嚨痛症狀，與蘭桂坊樂團群組,nz
關。,n
 3 月 5 至 10 日,nz
泰國， 3 月 21 日開始頭痛。,nt
 3 月 7 至 18 日,nz
倫敦、,PER
杜拜、,PER
，與第 354 宗個案,nz
 3 月 8 至 19 日,nz
保加利亞,v
強,v
制,v
檢疫；,nr
喉嚨痛。,nz
， 3 月 22 日返港,nz
家居強制檢疫， 3 月 23 日開始喉嚨痛。,nt
於德,PER
， 3 月 9 日出現發燒症狀， 3 月 21 日返港。,nz
 1 月至 3 月 18 日,nz
，與第 336 及 401 宗個案,nz
，與第 336 ,nr
 400 宗個案,nz
 2 月 22 日至 3 月 12 日,nz
南韓,nr
美國。患者為強制家居檢疫人士。 3 月 4 日至 11 日,nt
倫敦，3 月 13 日至 23 日,nt
，與第 404 宗個案,nz
為強,nr
 3 月 13 日至 23 日,nz
，與第 403 宗個案,nz
 3 月 6 日至 9 日曾到老撾， 3 月 11 日至 16 日,nz
第 793 宗個案忠者的家人。 2 月 25 日至 3 月 16 日,nt
美國。,nr
， 3 月 17 日返港，與第 198 宗個案,nz
英國， 3 月 22 日返港，為強制家居檢疫,nt
 1 月 13 日至 3 月 19 日留學英國，為強制家居檢疫,nt
 2 月 21 日至 3 月 15 日,nz
，與第 #310 宗個案,nz
關聯。,nz
 5 月 5 日因肚痛,nz
瑪麗醫院驗檢後,nr
機師，,v
停,v
一段,m
時間，,nz
 3 月 17 日過蘭桂坊爆疫酒吧 Insomnia ，並於 18 日再去尖沙嘴 All Night Long 酒吧。與,nt
第 182 、 227 、 276 、 343 、 360 、 362 、 367 、 384 、 386 、 387 、 389 及 394 宗個案,nz
外籍,n
 3 月 16 日抵港， 3 月 20 日,nt
樂隊」群組，有長期病患。 3 月 23 日出現發燒症狀。與第 #182、#227、#276、#343、#360、#362、#367、#384、#386、#387、#389、#394、#411、#422、#428、#432、#433、#434、#440、#442、#447、#450、#453 宗個案,nz
，無外遊記錄。 3 月 22 日,nz
狀，暫時未知感染源頭。 ,nz
 3 月 11 至 15 日,nz
荷蘭。 3 月 16 日,nt
英國留學， 1 月 20 日至 3 月 19 日在英國，為強制家居檢疫人士，,nt
， 2 月 27 日至 3 月 5 日,nz
過馬爾,nr
， 3 月 5 至 21 日到英國倫敦。  3 月 17 日,nt
，為強,nr
 3 月 20 日返港，為強制家居檢疫人士。 3 月 21 日,nt
 3 月 21 日返港，為強制家居檢疫人士。 3 月 25 日,nt
英國倫敦工作。 3 月 18 日失去嗅覺,nz
味覺， 3 月 22 日返港。,nz
英國留學， 3 月 17 至 18 日到過倫敦。 3 月 22 日出現發燒症狀。,nz
，無外遊記錄，屬「,nz
樂隊」群組。 3 月 23 日,nz
肌肉痛症狀。與第 #182、#227、#276、#343、#360、#362、#367、#384、#386、#387、#389、#394、#411、#413、#428、#432、#433、#434、#440、#442、#447、#450、#453 宗個案,nz
， 3 月 7 至 16 日,nz
泰國，,nr
 3 月 24 日出現喉,nz
英國留學， 3 月 20 日返港，為強制家居檢疫人士。 3 月 24 日出現喉,nt
英國留學。 3 月 21 日,nz
咳嗽， 3 月 25 日返港，,nz
英國留學。 3 月 23 日出現發燒、咳嗽,nz
喉嚨痛症狀， 3 月 25 日返港，,nz
英國，3 月 13 至 24 日,nz
。 3 月 25 日出現發燒症狀，,nz
衛生署轉介送院。與第 #443 宗個案,nt
女警,n
第 2 名,m
警察,n
染,v
疫。 3 月 20 日,nz
過尖沙嘴酒吧 All Night Long， 3 月 24 日出現發燒症狀。衞生署,nt
 3 月 27 日,nz
拒絕,v
，致兩名協,nr
抽血,v
醫護人員,nz
一人感,n
病發,n
 3 月 23 日與 第 #855 宗個案,nt
一間酒店自助餐場合脫口罩短談過。,nt
，無外遊記錄。 3 月 20 日,nz
喉嚨痛，屬「昌隆工業大廈」群組。與第 #291、#312、#372 及 #391 宗個案,nz
流行病學關連。,nz
 3 月 22 日返港，,nz
發燒。為強制家居檢疫,nt
挪威,LOC
 月 31 日至 3 月 17 日,nz
泰國。 3 月 23 日出現呼吸困難及心胸痛症狀。為強制家居檢疫,nt
，屬「,nr
樂隊」群組，無外遊記錄。 3 月 24 日出現發燒症狀。,nz
樂隊」群組，無外遊記錄。 3 月 21 日出現發燒、,nz
流鼻水症狀。,nz
樂隊」群組，無外遊記錄。 3 月 17 日,nz
 2 月 1 日至 3 月 14 日到過美國。 3 月 13 日出現咳嗽症狀。,nz
英國留學。 3 月 18 日出現咳嗽，3 月 20 日,nz
港，為強制家居檢疫,nt
蘇豪區酒吧 Kagesha Lounge。 3 月 17 日出現喉,nt
與第 275、 278 及 284 宗個案,nz
 3 月 13 日至 19 日到過加拿大， 3 月 20 日出現喉嚨痛症狀。,nz
學，3 月 23 日返港，為強制家居檢疫人士。 3 月 24 日,nt
樂隊」群組。 3 月 22 日出現發燒、呼吸困難,nz
英國， 3 月 17 日,nz
腹瀉症狀，3 月 21 日返港，為強制家居檢疫,nt
，與第 427 宗個案,nz
關連。3 月 13 日至 24 日,nz
，3 月 25 日出現咳嗽症狀，,nz
衛生署轉介送院,nt
屬「,v
黃刀,v
鎮旅行團」群組，與第 306 宗個案,nt
連，,v
 2 月 23 日至 3 月 20 日,nz
玻利維亞，3 月 ,nr
20,m
英國，過,nz
， 3 月 17 日出現喉,nz
發燒症狀， 3 月 25 日返港，,nz
英國留學，過,nz
， 3 月 21 日返港，,nz
強制家居檢疫。 3 月 23 日,nt
失去,v
味覺,n
嗅覺。,nz
樂隊」群組，過,nz
，無外遊記錄。 3 月 24 日出現發燒症狀。,nz
美國留學，過,nz
， 3 月 23 日,nz
流鼻水症狀， 3 月 25 日返港。 ,nz
 3 月 19 日出現喉嚨痛、,nz
嗅覺症狀， 3 月 24 日返港，,nz
亞洲博覽館送院。患者與第 426 宗個案,nt
，無外遊記錄。 3 月 25 日,nz
， 3 月 5 日至 18 日到過美國， 3 月 19 日,nz
嗅覺,v
， 1 月 23 日至 3 月 18 日,nz
， 3 月 14 日出現發燒症狀。,nz
與第 336 宗個案,nr
，無外遊記錄。 3 月 11 日,nz
，為強制家居檢疫人士。 3 月 5 日至 18 日,nt
法國， 3 月 20 日出現喉嚨痛、發燒、呼吸困難,nz
流鼻水症狀。 ,nz
 3 月 6 日至 15 日到法國,nz
英國。 3 月 15 日,nz
博愛醫院，,nt
檢測陰性後轉,v
 月 17 至 18 日獲,nz
第 #856 宗個案,nz
病格外,a
病床,n
檢測後,v
 3 月 27 日確診，入住屯門醫院,nt
菲律賓,nr
， 3 月 15 日出現咳嗽、呼吸困難,nz
流鼻水症狀。3 月 25 日返港，,nz
港口,n
衞生科轉介。 ,nr
英國居住， 3 月 19 日,nt
、呼吸困難、發燒,nz
腹瀉症狀。 3 月 25 日返港，,nz
亞博館,nr
檢測中心轉介。,nt
，無外遊紀錄， 3 月 23 日出現喉嚨痛症狀。,nz
為美,nr
 3 月 24 日返港，,nz
。 3 月 19 日出現發燒、咳嗽,nz
與第 #374 宗個案,nz
觸，並,nr
 2 月 27 日至 3 月 13,nz
。 3 月 24 日出現喉嚨痛症狀。,nz
。 3 月 23 日,nz
 2 月 29 日至 3 月 16 日到英國。 3 月 23 日,nt
與第 #354 及 #396 宗個案,nz
流行病學關連。 3 月 14 至 18 日在英國，3 月 20 日開始發燒。,nz
， 2 月 22 日至 3 月 16 日,nz
19 日,t
痛。,n
樂隊」群組。 3 月 22 日出現腹瀉症狀。,nz
，無外遊記錄。 3 月 26 日起出現發燒症狀。,nz
英國留學，3 月 19 日返港。 3 月 26 日開始失去味覺。,nz
 3 月 12 日至 22 日,nz
 3 月 23 日返港，,nz
居家隔離。 3 月 21 日開始喉嚨痕癢。,nt
學生， 3 月 ,nr
港，,n
24,m
痛、頭暈症狀。,nr
為荷蘭留學生，,nr
嗅覺、味覺、腹瀉症狀。,nz
為德國留學生， 3 月 22 日返港，,nz
。 3 月 25 日出現喉嚨痛症狀。,nz
為英國留學生，過,nr
，3 月 22 日返港後,nz
強制家居隔離。 3 月 21 日,nt
病徵。（衛生防護中心,nt
 3 月 28 日,nz
齡）,n
病徵。與第 145 宗個案,nt
， 3 月 2 日至 18 日,nz
過英國。 3 月 13 日,nt
頭痛、,nr
水、,n
， 3 月 21 日出現失去嗅覺、味覺、發燒症狀。 3 月 23 日返港後,nz
強制家居檢疫。,nz
第 #189 宗,m
第 #188 宗個案,nz
祖父,n
英國居住。 3 月 19 日,nt
衞生科轉介,nr
， 2 月 28 日至 3 月 12 日,nz
訪西班牙,LOC
巴塞隆拿，,nz
， 3 月 20 日返港後,nz
強制家居檢疫，,nz
，無外遊記錄。 3 月 18 日出現發燒、咳嗽,nz
喉嚨痛症狀。曾與第 #738 宗個案,nz
學生， 3 月 18 日返港後接受強制家居檢疫， 3 月 22 日,nt
喉嚨乾症狀。,nz
巴西,LOC
， 3 月 23 日抵港後,nz
第 #489 宗,m
，英,nr
病徵。 3 月 23 日返港接受強制家居檢疫。患者為第 #488 宗個案,nt
假期,n
強制家居檢疫， 3 月 26 日,nt
英國工作。 3 月 23 日返港接受強制家居檢疫， 3 月 26 日,nt
。 3 月 22 日返港,nz
 3 月 8 日至 18 日,nz
保加利亞、,v
。 3 月 24 日出現發燒症狀，返港後,nz
 3 月 15 日至 20 日,nz
阿聯酋,LOC
港後強制家居檢疫，,nt
。 3 月 22 日返港後,nz
護士,n
，3 月 6 至 17 日,nz
過新西蘭，,nr
強制家居檢疫， 3 月 23 日,nt
喉嚨痛症狀。與第 #398 及 #491 宗個案,nz
流行病學關連。根據衞生防護中心,nt
 4 月 7 日出院，,nt
診時獲,nr
告知,v
陽性， 4 月 18 日,nz
，無外遊記錄。 3 月 26 日,nz
樂隊」群組，有長期病患，無外遊記錄。 3 月 24 日出現發燒、咳嗽,nz
，無外遊記錄。 3 月 21 日出現發燒、咳嗽,nz
。 3 月 16 日返港， 3 月 24 日,nz
遊記,v
 3 月,nr
， 3 月 16 日出現咳嗽症狀，3 月 26 日返港，,nz
亞洲博覽館送院 。患者與第 #503 宗個案,nt
， 1 月出現咳嗽症狀， 3 月 26 日返港，,nz
亞洲博覽館送院 。患者與第 #502 宗個案,nt
樂隊」群組，,nz
，無外遊記,nr
 3 月 25 日出現喉,nz
發燒症狀，與第 #442 宗個案,nz
。 3 月 12 日,nz
喉嚨痛症狀，3 月 26 日返港，,nz
亞洲博覽館送院 。,nt
， 3 月 19 日出現發燒症狀， 3 月 26 日返港，,nz
 ， 3 月 20 日,nz
強制家居檢疫， 3 月 25 日出現頭痛、,nt
， 1 月 1 日至 3 月 21,nz
過英國， 3 月 23 日,nt
呼吸困難症狀，為強制家居檢疫,nt
，無外遊記錄。 3 月 24 日出現喉嚨痛症狀。,nz
，無外遊記錄。 3 月 26 日出現喉嚨痛症狀。,nz
顧客，過,nr
 ，,nr
東華三院賽馬會復康中心 C 座 3 樓賽馬會頤康護理安老院,nt
 C 座 5 樓賽馬會頤景護理安老院工作。 3 月 25 日出現發燒 、,nt
，無外遊記錄。 3 月 24 日出現咳嗽症狀。,nz
 3 月 24 日,nz
第 #462 宗個案,nz
 3 月 25 日出現頭暈症狀。,nz
樂隊」群組，並與第 #450 宗個案,nz
關連，過,nz
，無外遊記錄。3 月 26 日出現發燒症狀。,nz
學生，過,nr
， 3 月 13 日出現發燒、咳嗽,nz
流鼻水症狀， 3 月 25 日返港後,nz
強制家居檢疫。（衛生防護中心,nt
 3 月 27 日公佈,nz
 3 月 24 日返港，惟根據,nz
乘搭,v
應,v
 3 月 25 日返港。）,nz
， 1 月 21 日至 3 月 23 日到過法國， 3 月 19 日出現腹瀉及流鼻水症狀，為強制家居檢疫,nt
美國，,nr
。 3 月 26 日到港，,nz
，無長期病患，3 月 7 日至 22 日,nz
過美國，3 月 21 日出現頭痛症狀，為家居檢疫人士。患者與第 #523 宗個案,nt
，無長期病患， 3 月 7 日至 22 日,nz
過美國， 3 月 22 日出現喉嚨乾症狀，為家居檢疫人士。患者與第 #522 宗個案,nt
過灣仔 Dusk Till Dawn 酒吧。 3 月 25 日,nt
疲勞,a
，無外遊紀綠，與第 #477 宗個案,nz
關連。 3 月 24 日出現咳嗽症狀，,nz
，無外遊紀錄。 3 月 22 日,nz
美國居住。 3 月 22 日出現咳嗽， 3 月 26 日返港，由亞洲博覽館送院。（衛生防護中心,nt
 3 月 28 日公佈,nz
 3 月 25 日返港，惟根據,nz
 3 月 26 日返港。）,nz
， 2 月 27 日至 3 月 15 日到過泰國。 3 月 20 日出現流鼻水症狀，,nz
 2 月 10 日至 3 月 16 日到法國,nz
病徵。（衞生防護中心,nt
 3 月 30 日,nz
美國居住。 3 月 15 日出現發燒、咳嗽及喉嚨痛症狀， 3 月 26 日返港，由港口衞生科轉介送院,nt
， 3 月 20 日,nz
咳嗽， 3 月 24 日返港，,nz
 2 月 28 日從,nz
蘭桂坊 Draft Land 酒吧， 3 月 20 日出現發燒症狀。與第 #677 及 #713 宗個案,nt
關係。,nr
 2 月 21 日至 3 月 11 日,nz
美,an
有失去,v
徵。與第 #750 宗個案,nz
， 3 月 8 日至 18 日到過法國,nz
荷蘭， 3 月 19 日,nt
噁心症狀。（衞生防護中心,nt
英國旅遊。 3 月 15 日,nt
喉嚨痛症狀， 3 月 24 日返港。,nz
。 3 月 25 日返港，,nz
。3 月 25 日返港，,nz
強制家居檢疫。 3 月 26 日,nt
。 3 月 10 日出現頭痛， 3 月 24 日返港，,nz
。 3 月 24 日返港，,nz
， 1 月 28 日至 3 月 24 日,nz
英國，返港,ns
垷病徵。（衞生防護中心,nt
強制家居檢疫，3 月 27 日,nz
味覺。（衞生防護中心,nt
病徵。（衛生防護中心於 3 月 28 日公佈,nt
 3 月 26 日返港，惟根據,nz
。 3 月 22 日返港，,nz
強制家居檢疫，3 月 25 日,nt
病徵。（衞生防護中心於 3 月 30 日更新住院資料， 3 月 28 日公佈,nt
強制家居檢疫，於 3 月 27 日出現咳嗽。（衞生防護中心,nt
 3 月 27 日出現發燒。,nz
。 3 月 11 日出現發燒症狀， 3 月 25 日返港後,nz
強制家居檢疫。（衞生防護中心,nt
。 3 月 16 日失去嗅覺，3 月 25 日返港後,nz
強制家居檢疫。（衞生防護中心於 3 月 30 日更新住院資料；衛生防護中心於 3 月 28 日公佈,nt
。 3 月 17 日出現發燒、咳嗽,nz
喉嚨痛症狀， 3 月 25 日返港後,nz
強制家居檢疫。衞生防護中心,nt
確認,v
身份,n
 5 月 5 日公佈,nt
內地後,nr
。 3 月 23 日失去味覺,nz
嗅覺， 3 月 25 日返港後接受強制家居檢疫。（衞生防護中心,nt
 3 月 15 日失去嗅覺， 3 月 26 日返港後接受強制家居檢疫。（衞生防護中心,nt
， 3 月 25 日返港後,nz
強制家居檢疫，同日出現流鼻水症狀。（衞生防護中心,nt
， 3 月 5 至 14 日到過埃及， 3 月 12 日出現咳嗽症狀。與 第 #152 宗個案,nz
 3 月 26 日出現發燒、乾咳,nz
痰症,n
。（衞生防護中心,nt
 3 月 24 日出現發燒、喉嚨痛,nz
 3 月 23 日,nz
。 3 月 20 日返港，,nz
痰。與第 #507 宗個案,nz
外遊紀錄， 3 月 26 日開始喉嚨痛。（衛生防護中心,nt
 4 月 2 日,nz
性別）,n
，無外遊紀錄， 3 月 25 日,nz
咳嗽。（衞生防護中心,nt
 3 月 30 日 ,nz
更正,v
醫院為屯門醫院）,nt
， 3 月 24 日出現發燒、,nz
肌肉痛症狀， 3 月 27 日返港後,nz
， 2 月 24 日至 3 月 24 日,nz
強制家居檢疫，於 3 月 25 日,nt
。 3 月 21 日返港，,nz
強制家居檢疫， 3 月 26 日出現發燒症狀。        ,nt
，2 月 5 日至 3 月 16 日,nz
、食慾不振,nz
噁心。,nz
，2 月 19 日至 3 月 25 日,nz
強制家居檢疫。 3 月 18 日出現喉嚨痛、,nt
樂隊」群組，有長期病患，無外遊紀錄。 3 月 22 日出現喉嚨痛症狀。,nz
， 3 月 2 至 21 日,nz
頭痛、發冷、,nr
，無外遊紀錄，3 月 22 日出現發燒、喉嚨痛,nz
流鼻水症狀。與第 #275 宗個案,nz
，無外遊紀錄，屬「,nz
第 #579 宗個案,nz
第 #577 、 #578 宗個案,nz
父親。 3 月 24 日,nz
第 #576 、#579 宗個案,nz
第 #578 宗個案,nz
。 3 月 26 日出現發燒症狀。,nz
第 #577 宗個案,nz
。 3 月 27 日出現發燒症狀。（衞生防護中心,nt
第 #576 宗個案,nz
母親。 3 月 26 日,nz
21日,TIME
呼吸困難， 3 月 25 日返港,nz
 3 月 23 日返港，惟根據,nz
，無外遊紀錄。3 月 24 日出現咳嗽，,nz
第 #691 宗個案,nz
， 3 月 25 日開始喉,nt
鼻塞， 3 月 27 日返港後,nz
， 3 月 26 日返港後,nz
發燒症狀。        ,nt
 8 日至 17 日,nz
腹瀉。（衞生防護中心,nt
3 月 26 日從英國返港，,nz
居家隔離。 3 月 24 日出現咳嗽症狀。 與第 #588 宗個案患者有流行病學關連。（衞生防護中心,nt
英國，3 月 26 日從英國返港，,nz
居家隔離。 3 月 26 日出現咳嗽。 與第 #587 宗個案患者有流行病學關連。（衞生防護中心,nt
，留學美國，3 月 26 日返港後,nz
居家隔離。患者並無病徵。（衛生防護中心,nt
